tick,agent_a,agent_b
646,drone_2,drone_3
647,drone_0,drone_4
647,drone_2,drone_3
648,drone_0,drone_4
648,drone_2,drone_3
649,drone_0,drone_4
649,drone_2,drone_3
650,drone_0,drone_4
650,drone_2,drone_3
651,drone_0,drone_4
651,drone_2,drone_3
652,drone_0,drone_4
652,drone_2,drone_3
653,drone_0,drone_4
653,drone_2,drone_3
654,drone_0,drone_4
654,drone_2,drone_3
655,drone_0,drone_4
655,drone_2,drone_3
656,drone_0,drone_4
656,drone_2,drone_3
657,drone_0,drone_4
657,drone_2,drone_3
658,drone_0,drone_4
658,drone_2,drone_3
659,drone_0,drone_4
659,drone_2,drone_3
660,drone_0,drone_4
660,drone_2,drone_3
661,drone_0,drone_4
661,drone_2,drone_3
662,drone_0,drone_4
662,drone_2,drone_3
663,drone_0,drone_4
663,drone_2,drone_3
664,drone_0,drone_4
664,drone_2,drone_3
665,drone_0,drone_4
665,drone_2,drone_3
666,drone_0,drone_4
666,drone_2,drone_3
667,drone_0,drone_4
667,drone_2,drone_3
668,drone_2,drone_3
669,drone_2,drone_3
670,drone_2,drone_3
671,drone_2,drone_3
672,drone_2,drone_3
673,drone_2,drone_3
674,drone_2,drone_3
675,drone_2,drone_3
676,drone_2,drone_3
677,drone_2,drone_3
678,drone_2,drone_3
679,drone_2,drone_3
680,drone_2,drone_3
681,drone_2,drone_3
682,drone_2,drone_3
683,drone_2,drone_3
684,drone_2,drone_3
685,drone_2,drone_3
686,drone_2,drone_3
687,drone_2,drone_3
688,drone_2,drone_3
689,drone_2,drone_3
690,drone_2,drone_3
691,drone_2,drone_3
692,drone_2,drone_3
693,drone_2,drone_3
694,drone_2,drone_3
695,drone_2,drone_3
696,drone_2,drone_3
697,drone_2,drone_3
698,drone_2,drone_3
699,drone_2,drone_3
700,drone_1,drone_3
700,drone_2,drone_3
701,drone_1,drone_3
701,drone_2,drone_3
702,drone_1,drone_3
702,drone_2,drone_3
703,drone_1,drone_3
703,drone_2,drone_3
704,drone_1,drone_3
704,drone_2,drone_3
705,drone_1,drone_3
705,drone_2,drone_3
706,drone_1,drone_3
706,drone_2,drone_3
707,drone_1,drone_3
708,drone_1,drone_3
709,drone_1,drone_3
710,drone_1,drone_3
711,drone_1,drone_3
712,drone_1,drone_3
713,drone_1,drone_3
714,drone_1,drone_3
715,drone_1,drone_3
716,drone_1,drone_3
717,drone_1,drone_3
718,drone_1,drone_3
719,drone_1,drone_3
720,drone_1,drone_3
721,drone_1,drone_3
722,drone_1,drone_3
723,drone_1,drone_3
724,drone_1,drone_3
725,drone_1,drone_3
726,drone_1,drone_3
727,drone_1,drone_3
728,drone_1,drone_3
729,drone_1,drone_3
729,drone_3,drone_4
730,drone_1,drone_3
731,drone_1,drone_3
731,drone_3,drone_4
732,drone_1,drone_3
733,drone_1,drone_3
733,drone_3,drone_4
734,drone_1,drone_3
735,drone_1,drone_3
735,drone_3,drone_4
736,drone_1,drone_3
737,drone_1,drone_3
737,drone_3,drone_4
738,drone_1,drone_3
739,drone_0,drone_2
739,drone_1,drone_3
739,drone_3,drone_4
740,drone_0,drone_2
740,drone_1,drone_3
741,drone_0,drone_2
741,drone_1,drone_3
741,drone_3,drone_4
742,drone_0,drone_2
742,drone_1,drone_3
743,drone_0,drone_2
743,drone_1,drone_3
743,drone_3,drone_4
744,drone_0,drone_2
744,drone_1,drone_3
745,drone_0,drone_2
745,drone_1,drone_3
745,drone_3,drone_4
746,drone_0,drone_2
746,drone_1,drone_3
747,drone_0,drone_2
747,drone_1,drone_3
747,drone_3,drone_4
748,drone_0,drone_2
748,drone_1,drone_3
749,drone_0,drone_2
749,drone_1,drone_3
749,drone_3,drone_4
750,drone_0,drone_2
750,drone_1,drone_3
751,drone_0,drone_2
751,drone_1,drone_3
751,drone_3,drone_4
752,drone_0,drone_2
752,drone_1,drone_3
753,drone_0,drone_2
753,drone_1,drone_3
753,drone_3,drone_4
754,drone_0,drone_2
754,drone_1,drone_3
755,drone_0,drone_2
755,drone_1,drone_3
755,drone_3,drone_4
756,drone_0,drone_2
756,drone_1,drone_3
757,drone_0,drone_2
757,drone_1,drone_3
757,drone_3,drone_4
758,drone_0,drone_2
758,drone_1,drone_3
759,drone_0,drone_2
759,drone_1,drone_3
759,drone_3,drone_4
760,drone_0,drone_2
760,drone_1,drone_3
761,drone_0,drone_2
761,drone_1,drone_3
761,drone_3,drone_4
762,drone_0,drone_2
762,drone_1,drone_3
763,drone_0,drone_2
763,drone_1,drone_3
763,drone_3,drone_4
764,drone_0,drone_2
764,drone_1,drone_3
765,drone_0,drone_2
765,drone_1,drone_3
765,drone_3,drone_4
766,drone_0,drone_2
766,drone_1,drone_3
767,drone_0,drone_2
767,drone_1,drone_3
767,drone_3,drone_4
768,drone_0,drone_2
768,drone_1,drone_3
769,drone_0,drone_2
769,drone_1,drone_3
769,drone_3,drone_4
770,drone_0,drone_2
770,drone_1,drone_3
771,drone_0,drone_2
771,drone_1,drone_3
771,drone_3,drone_4
772,drone_0,drone_2
772,drone_1,drone_3
773,drone_0,drone_2
773,drone_1,drone_3
773,drone_3,drone_4
774,drone_0,drone_2
774,drone_1,drone_3
774,drone_3,drone_4
775,drone_0,drone_2
775,drone_1,drone_3
775,drone_3,drone_4
776,drone_0,drone_2
776,drone_1,drone_3
776,drone_3,drone_4
777,drone_0,drone_2
777,drone_1,drone_3
777,drone_3,drone_4
778,drone_0,drone_2
778,drone_1,drone_3
778,drone_3,drone_4
