Scenario,Group,Environment,Climate,Grid,Radius_km,Budget_m,Algorithm,Seed,n_agents,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
21,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,456,5,21.5,25.33,0.0179,0.2068,0.425,0.575,0.209404,1938.67,142.9
22,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,42,5,16.5,24.6,0.0171,0.1611,0.3345,0.6655,0.167649,1636.21,105.9
22,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,123,5,12.0,21.85,0.0154,0.1315,0.314,0.686,0.134059,1781.17,99.3
22,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,456,5,11.5,26.66,0.0192,0.1622,0.2744,0.7256,0.16387,1636.29,100.8
23,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_3D2P,42,5,25.0,33.0,0.0237,0.2496,0.3707,0.6293,0.25458,1800.85,96.5
23,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_3D2P,123,5,26.5,37.31,0.0266,0.2486,0.3369,0.6631,0.256214,1724.47,87.9
23,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_3D2P,456,5,24.5,34.94,0.0251,0.2559,0.3322,0.6678,0.26159,1780.87,93.4
24,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,42,5,2.0,25.82,0.0183,0.169,0.5668,0.4332,0.1722,1741.34,90.5
24,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,123,5,2.5,26.87,0.0191,0.174,0.5438,0.4562,0.177135,1741.36,80.4
24,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,456,5,3.5,27.93,0.0199,0.1802,0.5366,0.4634,0.183294,1741.35,82.0
25,mountain_temperate,mountainous,temperate,1219x1219,18.3,401868.00000000006,Swarm_3D2P,42,5,1.5,25.16,0.0175,0.1545,0.5829,0.4171,0.158507,1741.31,87.6
25,mountain_temperate,mountainous,temperate,1219x1219,18.3,401868.00000000006,Swarm_3D2P,123,5,4.0,26.78,0.0188,0.163,0.5606,0.4394,0.167187,1741.34,88.7
25,mountain_temperate,mountainous,temperate,1219x1219,18.3,401868.00000000006,Swarm_3D2P,456,5,3.5,26.76,0.0188,0.1629,0.5608,0.4392,0.167137,1741.34,85.4
26,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_3D2P,42,5,12.0,45.54,0.035,0.1948,0.0,1.0,0.190981,2009.23,97.0
26,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_3D2P,123,5,11.0,45.94,0.0353,0.1961,0.0,1.0,0.192215,2009.27,96.5
26,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_3D2P,456,5,10.5,45.9,0.0353,0.1961,0.0,1.0,0.192208,2058.18,110.6
27,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,42,5,17.5,40.72,0.032,0.2364,0.0801,0.9199,0.234142,2144.61,88.9
27,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,123,5,16.5,41.51,0.0325,0.2499,0.0733,0.9267,0.247654,2146.1,84.6
27,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,456,5,23.5,42.16,0.0332,0.2375,0.0628,0.9372,0.234985,2144.77,84.0
28,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,42,5,38.5,27.72,0.0204,0.3425,0.3631,0.6369,0.34386,1649.04,1029.2
28,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,123,5,43.5,33.61,0.0245,0.3523,0.2669,0.7331,0.355312,1651.24,826.9
28,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_3D2P,456,5,46.0,30.91,0.0229,0.452,0.3512,0.6488,0.449702,1653.75,360.9
29,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_3D2P,42,5,15.0,48.8,0.0355,0.3456,0.1814,0.8186,0.35131,1529.94,238.8
29,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_3D2P,123,5,16.0,51.6,0.0376,0.37,0.1528,0.8472,0.374618,1529.63,156.3
29,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_3D2P,456,5,15.0,49.18,0.0354,0.3079,0.0507,0.9493,0.316761,1532.31,963.1
30,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_3D2P,42,5,33.0,41.24,0.0295,0.3149,0.1127,0.8873,0.313365,1998.63,242.0
30,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_3D2P,123,5,37.5,37.92,0.0276,0.3581,0.0993,0.9007,0.355344,2007.62,135.0
