Scenario,Group,Environment,Climate,Radius_km,Budget_m,Algorithm,n_agents,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,42,29.5,45.58,0.0291,0.3192,0.3905,0.6095,0.3229660093784332,2224.31,597.7
46,mountain_dry,mountainous,dry,19.3,446988.0,Greedy,5,42,16.0,15.44,0.0,0.0,0.0,0.0,0.165781,446.99,4.2
46,mountain_dry,mountainous,dry,19.3,446988.0,Pizza,5,42,19.5,29.08,0.0,0.0,0.0,0.0,0.201295,446.99,2.5
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,123,28.0,49.39,0.0325,0.3407,0.3089,0.6911,0.342399001121521,2232.15,750.5
46,mountain_dry,mountainous,dry,19.3,446988.0,Greedy,5,123,9.0,13.17,0.0,0.0,0.0,0.0,0.147805,446.99,5.1
46,mountain_dry,mountainous,dry,19.3,446988.0,Pizza,5,123,14.5,29.08,0.0,0.0,0.0,0.0,0.201295,446.99,2.6
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,456,23.0,49.96,0.0335,0.304,0.3146,0.6854,0.3035759925842285,2210.98,568.2
46,mountain_dry,mountainous,dry,19.3,446988.0,Greedy,5,456,12.5,15.53,0.0,0.0,0.0,0.0,0.157896,446.99,4.2
46,mountain_dry,mountainous,dry,19.3,446988.0,Pizza,5,456,18.5,29.08,0.0,0.0,0.0,0.0,0.201295,446.99,2.5
50,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,42,31.0,49.86,0.0326,0.3346,0.2906,0.7094,0.3368600010871887,2186.95,578.9
50,mountain_dry,mountainous,dry,19.3,446988.0,Greedy,5,42,8.0,11.67,0.0,0.0,0.0,0.0,0.111893,446.99,4.2
50,mountain_dry,mountainous,dry,19.3,446988.0,Pizza,5,42,10.5,29.08,0.0,0.0,0.0,0.0,0.158035,446.99,2.8
50,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,123,28.5,46.36,0.0301,0.3062,0.3042,0.6958,0.31017500162124634,2183.63,614.8
50,mountain_dry,mountainous,dry,19.3,446988.0,Greedy,5,123,10.5,10.94,0.0,0.0,0.0,0.0,0.121967,446.99,4.2
50,mountain_dry,mountainous,dry,19.3,446988.0,Pizza,5,123,17.5,29.08,0.0,0.0,0.0,0.0,0.158035,446.99,2.8
50,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,456,30.5,52.88,0.0352,0.3196,0.2299,0.7701,0.32003599405288696,2168.39,553.0
50,mountain_dry,mountainous,dry,19.3,446988.0,Greedy,5,456,11.0,12.35,0.0,0.0,0.0,0.0,0.136262,446.99,4.2
50,mountain_dry,mountainous,dry,19.3,446988.0,Pizza,5,456,14.5,29.08,0.0,0.0,0.0,0.0,0.158035,446.99,2.8
