n_agents,num_drones,num_dogs,max_hops,kill_fraction,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Comm_range,Evaporation_rate,Alert_evaporation_rate,Ever_explored_penalty,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Algorithm,Seed
5,3,2,1.0,0.4,100000,0.2753718573120969,0.5262177474361355,0.17192241720543608,51.0,13.420774107329517,415.9735705595334,0.11323089897632599,0.0010198040124682793,10.0,0.8280775827945639,1497.161898406873,3.5,2000.0,0.01,0.005,0.0,0.24986446739709822,764.1949699178338,3820.974849589169,Swarm_3D2P,42
5,5,0,,0.4,100000,,,,66.0,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,,,,,,,,Pizza,42
5,5,0,,0.4,100000,,,,43.5,11.073777489384733,360.0000000000003,0.11085217759858228,0.001977007223820685,,,,5.9,,,,,,,,Greedy,42
5,3,2,1.0,0.4,100000,0.29090430433065684,0.6408954091033232,0.13486005089058525,70.0,14.551812350581073,445.1008580505596,0.13897952437400818,0.0015056943230300013,12.0,0.8651399491094147,1512.7283360914698,3.1,2000.0,0.01,0.005,0.0,0.15128663593725578,872.238177613914,4361.19088806957,Swarm_3D2P,123
5,5,0,,0.4,100000,,,,62.0,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.1,,,,,,,,Pizza,123
5,5,0,,0.4,100000,,,,45.5,10.490477101015488,360.00000000000045,0.1159986785975945,0.0020478965541980833,,,,5.2,,,,,,,,Greedy,123
5,3,2,1.0,0.4,100000,0.29353692246939583,0.6048525851764206,0.11054975736222827,61.5,14.575904666870969,415.27896679769714,0.12931963801383972,0.0011980195026746131,13.0,0.8894502426377717,1392.262142409689,2.7,2000.0,0.01,0.005,0.0,0.2203051513154839,787.5982921794057,3937.9914608970284,Swarm_3D2P,456
5,5,0,,0.4,100000,,,,64.5,23.358654863605373,358.8579340787375,0.13530730397886598,0.0013200669949545972,,,,0.0,,,,,,,,Pizza,456
5,5,0,,0.4,100000,,,,28.499999999999996,8.409552441761873,360.0,0.07814958348775283,0.0019141663477741347,,,,5.7,,,,,,,,Greedy,456
5,3,2,1.0,0.6,100000,0.24928699925409153,0.4805904757402548,0.18661417322834645,47.0,12.379680229965238,391.61453899719095,0.10303594917058945,0.0010198040124682793,10.0,0.8133858267716535,1403.333763977369,2.8,2000.0,0.01,0.005,0.0,0.21031818008313774,714.2932037103922,3571.4660185519606,Swarm_3D2P,42
