tick,agent_id,row,col,active,budget
52,dog_1,629,266,1,445744.7
52,dog_2,349,444,1,445516.4
52,dog_3,321,788,1,445293.2
53,drone_0,619,995,1,444800.4
53,drone_1,981,802,1,444750.7
53,dog_0,951,461,1,443791.0
53,dog_1,628,266,1,445729.7
53,dog_2,350,445,1,445474.0
53,dog_3,321,787,1,445263.2
54,drone_0,618,994,1,444758.0
54,drone_1,980,801,1,444708.2
54,dog_0,951,462,1,443737.0
54,dog_1,627,266,1,445714.7
54,dog_2,351,446,1,445431.5
54,dog_3,321,786,1,445248.2
55,drone_0,619,993,1,444715.5
55,drone_1,981,800,1,444665.8
55,dog_0,950,463,1,443660.6
55,dog_1,626,266,1,445699.7
55,dog_2,352,447,1,445389.1
55,dog_3,320,785,1,445214.3
56,drone_0,618,993,1,444685.5
56,drone_1,982,799,1,444623.3
56,dog_0,950,464,1,443606.6
56,dog_1,625,266,1,445684.7
56,dog_2,353,448,1,445346.6
56,dog_3,320,784,1,445184.2
57,drone_0,617,994,1,444643.0
57,drone_1,981,798,1,444580.9
57,dog_0,949,465,1,443530.2
57,dog_1,625,265,1,445669.7
57,dog_2,354,449,1,445304.2
57,dog_3,320,783,1,445160.2
58,drone_0,616,993,1,444600.6
58,drone_1,980,797,1,444538.4
58,dog_0,948,466,1,443453.8
58,dog_1,624,264,1,445648.4
58,dog_2,355,449,1,445274.2
58,dog_3,319,782,1,445126.3
59,drone_0,615,992,1,444558.1
59,drone_1,979,796,1,444496.0
59,dog_0,947,467,1,443377.4
59,dog_1,623,264,1,445633.4
59,dog_2,356,448,1,445252.9
59,dog_3,319,781,1,445111.3
60,drone_0,616,991,1,444515.7
60,drone_1,978,795,1,444453.5
60,dog_0,946,468,1,443300.9
60,dog_1,622,264,1,445618.4
60,dog_2,357,449,1,445210.5
60,dog_3,319,780,1,445096.2
61,drone_0,615,990,1,444473.2
61,drone_1,977,794,1,444411.1
61,dog_0,946,469,1,443246.9
61,dog_1,621,264,1,445603.4
61,dog_2,358,450,1,445168.1
61,dog_3,318,779,1,445062.3
62,drone_0,614,989,1,444430.8
62,drone_1,977,795,1,444381.1
62,dog_0,945,470,1,443170.5
62,dog_1,620,265,1,445582.2
62,dog_2,359,451,1,445146.8
62,dog_3,318,778,1,445047.3
63,drone_0,613,988,1,444388.3
63,drone_1,977,796,1,444351.0
63,dog_0,944,471,1,443094.1
63,dog_1,619,266,1,445561.0
63,dog_2,360,451,1,445116.8
63,dog_3,317,777,1,445013.3
64,drone_0,612,987,1,444345.9
64,drone_1,978,797,1,444308.6
64,dog_0,944,472,1,443040.1
64,dog_1,620,267,1,445539.8
64,dog_2,361,451,1,445086.8
64,dog_3,317,776,1,444998.3
65,drone_0,612,986,1,444315.9
65,drone_1,979,798,1,444266.2
65,dog_0,943,473,1,442963.7
65,dog_1,620,268,1,445524.7
65,dog_2,362,450,1,445044.3
65,dog_3,317,775,1,444968.3
66,drone_0,612,985,1,444285.9
66,drone_1,980,799,1,444223.7
66,dog_0,943,474,1,442909.6
66,dog_1,620,269,1,445509.7
66,dog_2,363,450,1,445029.3
66,dog_3,316,774,1,444934.3
67,drone_0,613,984,1,444243.4
67,drone_1,979,800,1,444181.3
67,dog_0,943,475,1,442855.6
67,dog_1,619,270,1,445488.5
67,dog_2,364,450,1,445014.3
67,dog_3,316,773,1,444910.3
68,drone_0,613,983,1,444213.4
68,drone_1,978,801,1,444138.8
68,dog_0,943,476,1,442801.6
68,dog_1,619,271,1,445473.5
68,dog_2,365,450,1,444984.3
68,dog_3,315,772,1,444876.4
69,drone_0,614,982,1,444171.0
69,drone_1,977,802,1,444096.4
69,dog_0,943,477,1,442747.6
69,dog_1,619,272,1,445458.5
69,dog_2,366,451,1,444941.9
69,dog_3,315,771,1,444852.4
70,drone_0,615,981,1,444128.5
70,drone_1,978,803,1,444053.9
70,dog_0,943,478,1,442693.5
70,dog_1,620,273,1,445437.3
70,dog_2,367,451,1,444926.9
70,dog_3,315,770,1,444822.3
71,drone_0,614,981,1,444098.5
71,drone_1,977,804,1,444011.5
71,dog_0,942,479,1,442617.1
71,dog_1,620,274,1,445347.2
71,dog_2,368,452,1,444905.6
71,dog_3,314,769,1,444788.4
72,drone_0,615,980,1,444056.0
72,drone_1,977,805,1,443981.4
72,dog_0,941,480,1,442540.7
72,dog_1,621,273,1,445326.0
72,dog_2,369,453,1,444884.4
72,dog_3,314,768,1,444764.4
73,drone_0,616,979,1,444013.6
73,drone_1,976,806,1,443939.0
73,dog_0,940,481,1,442489.8
73,dog_1,622,274,1,445304.8
73,dog_2,370,454,1,444842.0
73,dog_3,314,767,1,444734.4
74,drone_0,615,978,1,443971.1
74,drone_1,975,807,1,443896.5
74,dog_0,940,482,1,442459.8
74,dog_1,623,275,1,445262.3
