scenario,do_kill,presence_weight,n,probability_coverage_ratio_n_finite,probability_coverage_ratio_mean,probability_coverage_ratio_std,coverage_ratio_n_finite,coverage_ratio_mean,coverage_ratio_std,efficiency_ratio_n_finite,efficiency_ratio_mean,efficiency_ratio_std,coverage_gini_n_finite,coverage_gini_mean,coverage_gini_std,recovery_time_n_finite,recovery_time_mean,recovery_time_std,recovery_coverage_at_end_n_finite,recovery_coverage_at_end_mean,recovery_coverage_at_end_std
flatD_M_40,True,0.0,3,3,0.1891141206054875,0.00816703119172639,3,0.018260250779942328,0.0004271254664809325,3,0.9407193160877445,0.009435126869179175,3,0.6508491762219396,0.015828641421439225,0,nan,0.0,3,0.0,0.0
flatD_M_40,True,0.01,3,3,0.19628118416720433,0.021755060831206884,3,0.024955530275495793,0.007754344212675315,3,0.9305394675478639,0.055886733028707565,3,0.5210873273545588,0.1617327253555624,2,2668.0,429.9209229614209,3,0.6666666666666666,0.5773502691896257
mntT_L_16,False,0.0,3,3,0.19058077380086894,0.014005273677586739,3,0.018292114382029524,0.0015451695434225967,3,0.7222071326165483,0.025412011698661016,3,0.48219742731028054,0.04122947150647143,0,nan,0.0,0,nan,0.0
mntT_L_16,False,0.01,3,3,0.20301037985309503,0.008935699018167511,3,0.019056200325448164,0.0010779418576209296,3,0.6957488953864244,0.03329729972714425,3,0.4553230218139089,0.01027748024537893,0,nan,0.0,0,nan,0.0
mntT_L_16,True,0.0,3,3,0.17301550756693107,0.027504147826157326,3,0.01640756330773679,0.002696283553488015,3,0.7625537695725585,0.07132426424890594,3,0.4527224143280349,0.07374237781428357,0,nan,0.0,3,0.0,0.0
mntT_L_16,True,0.01,3,3,0.17974385081310082,0.01799194143418712,3,0.015261098185828211,0.0006970360406150312,3,0.751004597007877,0.026876760377947662,3,0.49471823071457827,0.01905453127505156,0,nan,0.0,3,0.0,0.0
mntT_L_25,False,0.0,3,3,0.11831016092524275,0.0012234601512249484,3,0.014016294281388722,0.00018422086123075524,3,0.4502650579799965,0.004779309603544169,3,0.2864766097386215,0.0035817050227080795,0,nan,0.0,0,nan,0.0
mntT_L_25,False,0.01,3,3,0.12575527008213308,0.003868431585845727,3,0.014992991067733271,0.00030189295624874377,3,0.47407598848945065,0.014837442392976031,3,0.27411874424599314,0.003361764898965091,0,nan,0.0,0,nan,0.0
mntT_L_25,True,0.0,3,3,0.11825941940526263,0.0010092646227211565,3,0.013682727877784141,0.00017076217742460612,3,0.5217387598805256,0.007573801937786028,3,0.2456826474706101,0.006804531865143942,3,1.0,0.0,3,1.0,0.0
mntT_L_25,True,0.01,3,3,0.11408071384393755,0.0010138989443003357,3,0.013321121258678166,3.885366232287498e-06,3,0.5182427354533419,0.007252222204429738,3,0.25115270853078714,0.0047521043465904265,3,75.0,67.54998149518622,3,1.0,0.0
mntD_L_46,False,0.0,3,3,0.1876665374587342,0.010984063979216368,3,0.022924230074325976,0.0010059111037871522,3,0.7143866204205667,0.030067267630867662,3,0.2835857238078065,0.021479582631531404,0,nan,0.0,0,nan,0.0
mntD_L_46,False,0.01,3,3,0.2006967707444384,0.002912247028592602,3,0.024293000265248353,0.0010460896521476862,3,0.7091968863105724,0.020401293376795342,3,0.24279028897568833,0.019694097293603108,0,nan,0.0,0,nan,0.0
mntD_L_46,True,0.0,3,3,0.17843584769110996,0.00507081377510488,3,0.0210362503396227,0.00027262638276342956,3,0.7952474639966635,0.009610362087484541,3,0.23027410039785826,0.005026217147911624,0,nan,0.0,3,0.0,0.0
mntD_L_46,True,0.01,3,3,0.18372208342365562,0.009263028137929036,3,0.022266551215103514,0.00017971031171713065,3,0.7873012460773936,0.009638947754832566,3,0.18605260094804307,0.008743415743835803,0,nan,0.0,3,0.0,0.0
mntD_L_55,False,0.0,3,3,0.10656363629198447,0.002711557465272064,3,0.011987371275941329,0.0008545878417106203,3,0.9058395411920819,0.0066515112090004755,3,0.7067921296245477,0.01649753365975923,0,nan,0.0,0,nan,0.0
mntD_L_55,False,0.01,3,3,0.1254881015550388,0.005303703608040352,3,0.013082226183479302,0.0008436596526288052,3,0.902171600472515,0.022158479636599455,3,0.6904072838801754,0.015228932633886973,0,nan,0.0,0,nan,0.0
mntD_L_55,True,0.0,3,3,0.09396728182335341,0.0016341912260247594,3,0.010856840867918414,0.0008598043090218102,3,0.9159276583672954,0.006705327287633428,3,0.6817157409124002,0.022678213773298924,0,nan,0.0,3,0.0,0.0
mntD_L_55,True,0.01,3,3,0.10335525284912729,0.01138708735078853,3,0.010774202702953286,0.000659378804722203,3,0.9303651003424143,0.011214648999588434,3,0.6883879484993468,0.012924405201493528,0,nan,0.0,3,0.0,0.0
