total_cells,explored_cells,coverage_ratio,overlap_cells,overlap_ratio,probability_covered,probability_total,probability_coverage_ratio,per_agent_explored,total_timesteps,paths_lengths_m,budget_consumed_m,effective_cells,redundant_visits,efficiency_ratio,time_to_first_victim,info_propagation_latency,coverage_gini,cluster_ratio,mean_pair_distance_cells,scenario,presence_weight,seed,elapsed_s
434940,14008,0.03220674115970019,9123,0.39440577579871167,0.28580271339779983,1.0,0.28580271339779983,"{'drone_0': 4668, 'drone_1': 4621, 'drone_2': 4549, 'drone_3': 4420, 'drone_4': 4873}",2614,"{'drone_0': 99992.34205090767, 'drone_1': 99960.81458863716, 'drone_2': 99966.89075298695, 'drone_3': 99973.31848548791, 'drone_4': 99998.76110301571}","{'drone_0': np.float64(99992.34205089026), 'drone_1': np.float64(99960.8145886408), 'drone_2': np.float64(99966.8907529869), 'drone_3': np.float64(99973.3184854935), 'drone_4': np.float64(99998.7611030111)}",14008,9123,0.6055942242012883,,1209.1276164101243,0.3917158856824856,0.003322784810126582,64.03132911392404,sarenv_s1_5d_100k,0.0,13,14.923272500018356
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,13,13.685774900019169
434940,14148,0.03252862463788109,9419,0.39966902872660925,0.2951160331759297,1.0,0.2951160331759297,"{'drone_0': 4543, 'drone_1': 5163, 'drone_2': 4392, 'drone_3': 4487, 'drone_4': 4982}",2619,"{'drone_0': 99997.73087741458, 'drone_1': 99996.31527110224, 'drone_2': 99976.0216600212, 'drone_3': 99971.16631397094, 'drone_4': 99961.06212615239}","{'drone_0': np.float64(99997.73087740448), 'drone_1': np.float64(99996.31527110584), 'drone_2': np.float64(99976.02166002995), 'drone_3': np.float64(99971.16631395715), 'drone_4': np.float64(99961.06212615293)}",14148,9419,0.6003309712733907,,1200.6401093836416,0.3718272029541294,0.0050468050468050465,59.42954822954823,sarenv_s1_5d_100k,0.0,21,14.695948899985524
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,21,13.977351500012446
434940,12869,0.02958798914792845,10562,0.4507703469762281,0.28214228178921985,1.0,0.28214228178921985,"{'drone_0': 4633, 'drone_1': 4564, 'drone_2': 4549, 'drone_3': 4735, 'drone_4': 4950}",2635,"{'drone_0': 99977.55318977346, 'drone_1': 99970.56978742681, 'drone_2': 99972.50761464606, 'drone_3': 99973.53395457385, 'drone_4': 99997.08038271425}","{'drone_0': np.float64(99977.55318976939), 'drone_1': np.float64(99970.56978743376), 'drone_2': np.float64(99972.50761463697), 'drone_3': np.float64(99973.53395455782), 'drone_4': np.float64(99997.0803827071)}",12869,10562,0.5492296530237719,,1213.1091976283408,0.4050752308121255,0.0036277602523659305,59.71616719242902,sarenv_s1_5d_100k,0.0,77,14.834902900009183
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,77,45.67809910001233
434940,13669,0.031427323308962155,9247,0.40351719322743934,0.29126906316696477,1.0,0.29126906316696477,"{'drone_0': 5102, 'drone_1': 4344, 'drone_2': 4638, 'drone_3': 4501, 'drone_4': 4331}",2657,"{'drone_0': 99972.54487531175, 'drone_1': 99990.29672487857, 'drone_2': 99965.63236437745, 'drone_3': 99989.82952295069, 'drone_4': 99969.94484241528}","{'drone_0': np.float64(99972.54487530563), 'drone_1': np.float64(99990.29672488874), 'drone_2': np.float64(99965.63236436993), 'drone_3': np.float64(99989.82952295044), 'drone_4': np.float64(99969.9448424169)}",13669,9247,0.5964828067725606,,1211.1498922745461,0.389703872449378,0.004787018255578093,59.25817444219067,sarenv_s1_5d_100k,0.0,314,81.57147230001283
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,314,13.325503799977014
434940,15670,0.036027957879247716,8395,0.34884687305215045,0.31855266067873345,1.0,0.31855266067873345,"{'drone_0': 5079, 'drone_1': 4429, 'drone_2': 4892, 'drone_3': 4984, 'drone_4': 4681}",2595,"{'drone_0': 99974.47779995757, 'drone_1': 99963.22751701789, 'drone_2': 99988.16165837902, 'drone_3': 99994.77943814668, 'drone_4': 99963.11086638043}","{'drone_0': np.float64(99974.47779994938), 'drone_1': np.float64(99963.22751703011), 'drone_2': np.float64(99988.16165838041), 'drone_3': np.float64(99994.77943814476), 'drone_4': np.float64(99963.11086637744)}",15670,8395,0.6511531269478495,,1116.6424536860898,0.3236224620640267,0.0004068348250610252,68.60195280716029,sarenv_s1_5d_100k,0.0,2718,14.182943899999373
434940,15019,0.03453119970570653,9116,0.3777087217733582,0.32515274806735306,1.0,0.32515274806735306,"{'drone_0': 4477, 'drone_1': 5467, 'drone_2': 4580, 'drone_3': 5062, 'drone_4': 4549}",2658,"{'drone_0': 99971.43126617603, 'drone_1': 99998.41365627102, 'drone_2': 99970.05729771618, 'drone_3': 99999.56042467097, 'drone_4': 99976.24844256016}","{'drone_0': np.float64(99971.43126617093), 'drone_1': np.float64(99998.41365626865), 'drone_2': np.float64(99970.05729770758), 'drone_3': np.float64(99999.56042466799), 'drone_4': np.float64(99976.24844256118)}",15019,9116,0.6222912782266418,,1275.3597990890373,0.3426694208771264,0.0,60.64261268781302,sarenv_s1_5d_100k,0.01,2718,13.724840299983043
