Scenario,Group,Environment,Climate,Radius_km,Budget_m,Algorithm,n_agents,Kill_fraction,N_agents_killed,Steps_completed,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.0,0,3728,123,11.5,6.27,0.0137,0.1072,0.1759,0.8241,0.11895599961280823,570.86,56.9
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.0,0,15000,123,43.0,24.47,0.0,0.0,0.0,0.0,0.410135,588.06,5.2
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.0,0,15000,123,54.0,38.35,0.0,0.0,0.0,0.0,0.490468,588.06,0.7
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.2,1,3722,123,10.5,5.91,0.0126,0.0993,0.1693,0.8307,0.11139599978923798,517.68,52.9
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.2,1,15000,123,32.0,17.12,0.0,0.0,0.0,0.0,0.31218,486.13,5.3
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.2,1,15000,123,47.0,31.74,0.0,0.0,0.0,0.0,0.420462,486.13,0.8
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.4,2,3712,123,10.5,5.45,0.0112,0.0912,0.1448,0.8552,0.10323599725961685,463.34,49.8
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.4,2,15000,123,26.0,15.38,0.0,0.0,0.0,0.0,0.293284,384.2,5.3
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.4,2,15000,123,36.0,25.06,0.0,0.0,0.0,0.0,0.350915,384.2,0.8
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.6,3,2903,123,10.0,4.92,0.0098,0.0807,0.1561,0.8439,0.09297800064086914,409.01,40.2
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.6,3,15000,123,23.5,8.99,0.0,0.0,0.0,0.0,0.221707,282.27,6.1
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.6,3,15000,123,31.0,18.39,0.0,0.0,0.0,0.0,0.28183,282.27,0.8
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.0,0,3742,456,12.0,6.83,0.0151,0.1209,0.178,0.822,0.13210399448871613,569.76,57.4
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.0,0,15000,456,39.0,25.95,0.0,0.0,0.0,0.0,0.417022,588.06,5.6
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.0,0,15000,456,53.0,38.35,0.0,0.0,0.0,0.0,0.490468,588.06,0.8
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.2,1,3735,456,10.5,6.54,0.0141,0.116,0.1512,0.8488,0.1277790069580078,516.48,53.4
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.2,1,15000,456,38.5,22.25,0.0,0.0,0.0,0.0,0.370176,486.13,5.4
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.2,1,15000,456,45.5,31.74,0.0,0.0,0.0,0.0,0.420462,486.13,0.7
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.4,2,3713,456,12.0,6.11,0.013,0.109,0.1362,0.8638,0.12019000202417374,461.82,50.0
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.4,2,15000,456,25.5,15.05,0.0,0.0,0.0,0.0,0.280288,384.2,6.0
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.4,2,15000,456,36.0,25.06,0.0,0.0,0.0,0.0,0.350915,384.2,0.7
5,flat_temperate,flat,temperate,9.9,117612.0,Swarm_3D2P,5,0.6,3,3024,456,11.0,5.59,0.0116,0.0993,0.1288,0.8712,0.11137200146913528,407.03,41.0
5,flat_temperate,flat,temperate,9.9,117612.0,Greedy,5,0.6,3,15000,456,23.0,12.99,0.0,0.0,0.0,0.0,0.260984,282.27,5.4
5,flat_temperate,flat,temperate,9.9,117612.0,Pizza,5,0.6,3,15000,456,27.5,18.39,0.0,0.0,0.0,0.0,0.28183,282.27,0.8
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.0,0,10927,42,32.0,33.43,0.024,0.3041,0.3106,0.6894,0.30496901273727417,1902.76,483.7
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.0,0,15000,42,43.0,66.21,0.0,0.0,0.0,0.0,0.429552,2009.34,18.8
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.0,0,15000,42,56.5,132.0,0.0,0.0,0.0,0.0,0.519454,2009.34,2.4
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.2,1,10971,42,25.5,26.53,0.0185,0.2523,0.2736,0.7264,0.2548139989376068,1533.31,474.6
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.2,1,15000,42,39.5,54.43,0.0,0.0,0.0,0.0,0.382552,1661.05,20.8
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.2,1,15000,42,41.0,109.19,0.0,0.0,0.0,0.0,0.417218,1661.05,2.5
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.4,2,10945,42,19.0,20.96,0.0142,0.2055,0.1466,0.8534,0.20644700527191162,1246.18,444.4
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.4,2,15000,42,36.5,45.09,0.0,0.0,0.0,0.0,0.37026,1312.77,19.8
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.4,2,15000,42,36.5,86.25,0.0,0.0,0.0,0.0,0.370339,1312.77,2.6
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.6,3,8639,42,11.0,13.44,0.0082,0.1097,0.1369,0.8631,0.1162249967455864,922.96,337.8
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.6,3,15000,42,25.5,31.97,0.0,0.0,0.0,0.0,0.231066,964.48,20.1
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.6,3,15000,42,31.5,63.32,0.0,0.0,0.0,0.0,0.34433,964.48,3.0
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.0,0,10893,123,35.5,31.87,0.0233,0.3019,0.3644,0.6356,0.30140700936317444,1819.06,526.9
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.0,0,15000,123,42.5,55.61,0.0,0.0,0.0,0.0,0.418181,2009.34,18.9
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.0,0,15000,123,56.5,132.0,0.0,0.0,0.0,0.0,0.519454,2009.34,2.6
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.2,1,13582,123,32.0,30.22,0.0215,0.2791,0.2284,0.7716,0.2805449962615967,1726.25,595.7
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.2,1,15000,123,41.5,48.7,0.0,0.0,0.0,0.0,0.384606,1661.05,19.1
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.2,1,15000,123,45.5,109.19,0.0,0.0,0.0,0.0,0.417218,1661.05,3.3
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Swarm_3D2P,5,0.4,2,10990,123,21.5,18.66,0.013,0.194,0.1407,0.8593,0.19507800042629242,1177.85,446.4
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Greedy,5,0.4,2,15000,123,34.0,39.77,0.0,0.0,0.0,0.0,0.310615,1312.77,19.0
16,mountain_temperate,mountainous,temperate,18.3,401868.0,Pizza,5,0.4,2,15000,123,41.5,86.25,0.0,0.0,0.0,0.0,0.370339,1312.77,3.4
