total_cells,explored_cells,coverage_ratio,overlap_cells,overlap_ratio,probability_covered,probability_total,probability_coverage_ratio,per_agent_explored,total_timesteps,paths_lengths_m,budget_consumed_m,effective_cells,redundant_visits,efficiency_ratio,time_to_first_victim,info_propagation_latency,coverage_gini,cluster_ratio,mean_pair_distance_cells,scenario,env_type,climate,presence_weight,seed,do_kill,kill_tick,max_steps,budget,recovery_zone_size,kill_applied,recovery_time,recovery_coverage_at_end,elapsed_s
762129,26911,0.03531029523873255,431,0.01576329456513788,0.1623909580375198,1.0,0.1623909580375198,"{'drone_0': 2457, 'drone_1': 8065, 'drone_2': 1164, 'drone_3': 7689, 'drone_4': 7967}",4239,"{'drone_0': 132248.02394157098, 'drone_1': 132250.66984382295, 'drone_2': 20898.09322841263, 'drone_3': 132243.9053596182, 'drone_4': 132256.70245016742}","{'drone_0': np.float64(132248.02394159292), 'drone_1': np.float64(132250.66984381076), 'drone_2': np.float64(20898.093228406156), 'drone_3': np.float64(132243.90535961435), 'drone_4': np.float64(132256.70245013584)}",26911,431,0.9842367054348621,,2576.029332162973,0.2674436941102729,0.0,293.0588822355289,flatD_M_35,flat,dry,0.01,7,True,500,19840,132272,5,True,nan,0.0,96.08177889999934
762129,16704,0.021917549391244788,1695,0.09212457198760803,0.2144379182245757,0.9999999403953552,0.2144379310060724,"{'drone_0': 2737, 'drone_1': 2650, 'drone_2': 4288, 'drone_3': 3470, 'drone_4': 5254}",4210,"{'drone_0': 132260.3035164897, 'drone_1': 132237.27090786098, 'drone_2': 132268.72011192067, 'drone_3': 132262.56193523962, 'drone_4': 132263.63374546054}","{'drone_0': np.float64(132260.30351630787), 'drone_1': np.float64(132237.27090781624), 'drone_2': np.float64(132268.72011183345), 'drone_3': np.float64(132262.5619351186), 'drone_4': np.float64(132263.63374544596)}",16704,1695,0.907875428012392,,2369.9285751853995,0.6588282161362422,0.0,122.76207610665286,flatD_M_40,flat,dry,0.0,42,False,-1,19840,132272,0,False,nan,nan,122.28489460000037
762129,17392,0.022820283705252,1019,0.05534734669491065,0.21930364949821524,0.9999999403953552,0.21930366256973213,"{'drone_0': 2863, 'drone_1': 2385, 'drone_2': 3187, 'drone_3': 2593, 'drone_4': 7383}",4193,"{'drone_0': 132259.78600072567, 'drone_1': 132264.05169731437, 'drone_2': 132239.680903536, 'drone_3': 132268.5945414982, 'drone_4': 132247.09924619953}","{'drone_0': np.float64(132259.7860005015), 'drone_1': np.float64(132264.05169734205), 'drone_2': np.float64(132239.68090349724), 'drone_3': np.float64(132268.59454144334), 'drone_4': np.float64(132247.0992461252)}",17392,1019,0.9446526533050893,,2491.233539526106,0.6368676376172842,0.0,135.52525802752294,flatD_M_40,flat,dry,0.01,42,False,-1,19840,132272,0,False,nan,nan,146.51097110000046
762129,13637,0.017893296279238816,994,0.06793793999043128,0.18436769599679792,0.9999999403953552,0.1843677069859696,"{'drone_0': 2737, 'drone_1': 2490, 'drone_2': 1093, 'drone_3': 3470, 'drone_4': 4841}",4210,"{'drone_0': 132260.3035164897, 'drone_1': 132257.50157519808, 'drone_2': 19393.9238865464, 'drone_3': 132262.56193523962, 'drone_4': 132258.27023183389}","{'drone_0': np.float64(132260.30351630787), 'drone_1': np.float64(132257.50157521095), 'drone_2': np.float64(19393.92388655618), 'drone_3': np.float64(132262.5619351186), 'drone_4': np.float64(132258.27023179774)}",13637,994,0.9320620600095687,,2340.0468044986196,0.6629018728507017,0.0,302.3796407185629,flatD_M_40,flat,dry,0.0,42,True,500,19840,132272,5,True,nan,0.0,147.0453118000005
762129,15922,0.02089147637735869,722,0.04337899543378995,0.19001285195281525,0.9999999403953552,0.19001286327846448,"{'drone_0': 3012, 'drone_1': 2385, 'drone_2': 1254, 'drone_3': 2593, 'drone_4': 7400}",4189,"{'drone_0': 132268.68333343603, 'drone_1': 132264.05169731437, 'drone_2': 19978.188011076727, 'drone_3': 132268.5945414982, 'drone_4': 132269.82870095037}","{'drone_0': np.float64(132268.68333311848), 'drone_1': np.float64(132264.05169734205), 'drone_2': np.float64(19978.188011076418), 'drone_3': np.float64(132268.59454144334), 'drone_4': np.float64(132269.82870087604)}",15922,722,0.95662100456621,,2555.0831395002087,0.605862794056061,0.0,263.0387225548902,flatD_M_40,flat,dry,0.01,42,True,500,19840,132272,5,True,nan,0.0,138.3575551999993
762129,15669,0.02055951157874848,2010,0.11369421347361276,0.22598454025956016,0.9999999403953552,0.22598455372928922,"{'drone_0': 2731, 'drone_1': 2863, 'drone_2': 3781, 'drone_3': 3449, 'drone_4': 4855}",4207,"{'drone_0': 132244.85606174075, 'drone_1': 132259.84878571026, 'drone_2': 132266.22132459618, 'drone_3': 132270.39822972534, 'drone_4': 132268.56853513684}","{'drone_0': np.float64(132244.85606155993), 'drone_1': np.float64(132259.84878569667), 'drone_2': np.float64(132266.22132447737), 'drone_3': np.float64(132270.39822964268), 'drone_4': np.float64(132268.568534963)}",15669,2010,0.8863057865263873,,2483.3366158868334,0.66208480169014,0.0,107.84039011703511,flatD_M_40,flat,dry,0.0,1,False,-1,19840,132272,0,False,nan,nan,137.03575170000022
762129,26894,0.03528798930364807,1393,0.049245236327641675,0.24067560418598077,0.9999999403953552,0.24067561853136551,"{'drone_0': 8459, 'drone_1': 2667, 'drone_2': 2668, 'drone_3': 7131, 'drone_4': 7362}",4147,"{'drone_0': 132268.06179140374, 'drone_1': 132246.68575623626, 'drone_2': 132230.35484684265, 'drone_3': 132268.70487762586, 'drone_4': 132245.84985246902}","{'drone_0': np.float64(132268.06179139164), 'drone_1': np.float64(132246.6857562394), 'drone_2': np.float64(132230.35484674937), 'drone_3': np.float64(132268.7048775883), 'drone_4': np.float64(132245.8498524471)}",26894,1393,0.9507547636723583,,2498.4296337870073,0.43791538262702767,0.0,214.33383973786118,flatD_M_40,flat,dry,0.01,1,False,-1,19840,132272,0,False,nan,nan,85.21812399999999
762129,14274,0.018729112787992584,739,0.04922400586158662,0.19854451522405725,0.9999999403953552,0.19854452705823325,"{'drone_0': 2731, 'drone_1': 2842, 'drone_2': 1127, 'drone_3': 3458, 'drone_4': 4855}",4207,"{'drone_0': 132244.85606174075, 'drone_1': 132270.14708887337, 'drone_2': 19903.601101568725, 'drone_3': 132233.10477496774, 'drone_4': 132268.56853513684}","{'drone_0': np.float64(132244.85606155993), 'drone_1': np.float64(132270.147088862), 'drone_2': np.float64(19903.601101563196), 'drone_3': np.float64(132233.10477488607), 'drone_4': np.float64(132268.568534963)}",14274,739,0.9507759941384134,,2566.6228578875352,0.632923446947619,0.0,292.41497005988026,flatD_M_40,flat,dry,0.0,1,True,500,19840,132272,5,True,nan,0.0,23.662152899999455
762129,25834,0.03389714864543929,837,0.03138240035994151,0.22048221986597127,0.9999999403953552,0.22048223300773645,"{'drone_0': 8459, 'drone_1': 2667, 'drone_2': 1052, 'drone_3': 7131, 'drone_4': 7362}",4147,"{'drone_0': 132268.06179140374, 'drone_1': 132246.68575623626, 'drone_2': 18113.51527324285, 'drone_3': 132268.70487762586, 'drone_4': 132245.84985246902}","{'drone_0': np.float64(132268.06179139164), 'drone_1': np.float64(132246.6857562394), 'drone_2': np.float64(18113.515273245866), 'drone_3': np.float64(132268.7048775883), 'drone_4': np.float64(132245.8498524471)}",25834,837,0.9686175996400584,,2573.054068124349,0.33459090365137034,0.0,304.0754491017964,flatD_M_40,flat,dry,0.01,1,True,500,19840,132272,5,True,2364,1.0,21.360473900000216
762129,15621,0.020496530114980534,2174,0.12216914863725765,0.21582670360112388,0.9999999403953552,0.21582671646539864,"{'drone_0': 3073, 'drone_1': 2473, 'drone_2': 4184, 'drone_3': 3227, 'drone_4': 4838}",4172,"{'drone_0': 132244.91884697418, 'drone_1': 132263.53418151944, 'drone_2': 132246.7225348255, 'drone_3': 132265.27508464208, 'drone_4': 132253.1210802514}","{'drone_0': np.float64(132244.91884675514), 'drone_1': np.float64(132263.53418153577), 'drone_2': np.float64(132246.7225349546), 'drone_3': np.float64(132265.27508454022), 'drone_4': np.float64(132253.1210802151)}",15621,2174,0.8778308513627423,,2387.8733461432885,0.6725063100414184,0.0,117.19743721168632,flatD_M_40,flat,dry,0.0,7,False,-1,19840,132272,0,False,nan,nan,64.23741129999962
