Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Likelihood,Path_km,Elapsed_s,Phase,Config,Max_hops,Kill_fraction,Seed,Scenario,Group,Environment,Climate,Grid,Radius_km
29.0,54.61,0.0384,0.3564,0.4775,0.5225,0.0242,3944.559,19722.7948,0.353972,2234.8,564.9,E3,hops_3,3,0.0,123,46,mountain_dry,mountainous,dry,1286x1286,19.3
31.0,62.96,0.0441,0.3908,0.3963,0.6037,0.0566,3651.9254,18259.6268,0.387481,2234.86,558.1,E3,hops_inf,999,0.0,123,46,mountain_dry,mountainous,dry,1286x1286,19.3
32.5,54.36,0.0383,0.3533,0.3371,0.6629,0.0179,3596.8527,17984.2636,0.349435,2234.84,609.6,E3,hops_0,0,0.0,42,50,mountain_dry,mountainous,dry,1286x1286,19.3
34.0,56.48,0.0396,0.3532,0.3751,0.6249,0.0217,3702.2103,18511.0515,0.35007,2234.83,569.4,E3,hops_1,1,0.0,42,50,mountain_dry,mountainous,dry,1286x1286,19.3
38.5,59.93,0.0422,0.3784,0.351,0.649,0.0156,3741.294,18706.4699,0.374573,2234.84,589.8,E3,hops_3,3,0.0,42,50,mountain_dry,mountainous,dry,1286x1286,19.3
38.5,59.93,0.0422,0.3784,0.351,0.649,0.0156,3741.294,18706.4699,0.374573,2234.84,582.7,E3,hops_inf,999,0.0,42,50,mountain_dry,mountainous,dry,1286x1286,19.3
29.5,51.11,0.0358,0.3093,0.3698,0.6302,0.0446,3264.2398,16321.1989,0.305433,2234.84,591.8,E3,hops_0,0,0.0,123,50,mountain_dry,mountainous,dry,1286x1286,19.3
38.5,60.72,0.0426,0.3814,0.3416,0.6584,0.0826,3508.8911,17544.4554,0.377301,2234.85,541.4,E3,hops_1,1,0.0,123,50,mountain_dry,mountainous,dry,1286x1286,19.3
38.5,57.44,0.0403,0.36,0.3745,0.6255,0.0602,3678.2848,18391.424,0.35671,2234.83,581.5,E3,hops_3,3,0.0,123,50,mountain_dry,mountainous,dry,1286x1286,19.3
38.5,58.87,0.0413,0.3631,0.3669,0.6331,0.0592,3662.4521,18312.2607,0.359784,2234.9,615.6,E3,hops_inf,999,0.0,123,50,mountain_dry,mountainous,dry,1286x1286,19.3
