Scenario,Group,Environment,Climate,Grid,Radius_km,Budget_m,Algorithm,Seed,n_agents,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
28,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,42,5,62.5,40.3,0.0317,0.6213,0.3838,0.6162,0.617013,2009.24,731.7
28,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,123,5,69.5,43.62,0.0344,0.6292,0.3604,0.6396,0.623928,2009.21,580.3
28,mountain_temperate,mountainous,temperate,1220x1220,18.3,401868.00000000006,Swarm_5D0P,456,5,59.0,41.34,0.0327,0.6112,0.4465,0.5535,0.607135,2009.26,254.4
29,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_5D0P,42,5,18.0,60.5,0.046,0.4403,0.314,0.686,0.435703,2009.25,171.4
29,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_5D0P,123,5,18.5,62.34,0.0473,0.4551,0.3082,0.6918,0.45083,2009.23,115.4
29,mountain_temperate,mountainous,temperate,1219x1220,18.3,401868.00000000006,Swarm_5D0P,456,5,17.5,60.92,0.0461,0.4046,0.2423,0.7577,0.400114,2009.26,666.2
30,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_5D0P,42,5,29.0,40.21,0.0313,0.3017,0.2376,0.7624,0.297797,2009.26,648.8
30,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_5D0P,123,5,32.5,42.33,0.0329,0.3508,0.2603,0.7397,0.346271,2009.24,879.2
30,mountain_temperate,mountainous,temperate,1220x1219,18.3,401868.00000000006,Swarm_5D0P,456,5,35.5,42.68,0.0331,0.3742,0.2975,0.7025,0.369705,2009.23,320.8
31,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,48.0,26.79,0.044,0.4954,0.3838,0.6162,0.492985,1029.59,31.2
31,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,50.5,24.98,0.041,0.5217,0.4313,0.5687,0.518959,1029.59,30.2
31,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,47.5,25.54,0.0418,0.5235,0.4161,0.5839,0.521313,1029.54,30.5
32,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,4.5,8.67,0.0133,0.0806,0.2405,0.7595,0.07833,1029.58,49.4
32,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,6.0,7.8,0.012,0.0748,0.2779,0.7221,0.0724,1029.55,46.5
32,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,6.0,8.05,0.0124,0.0731,0.2705,0.7295,0.070649,1029.56,47.8
33,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,32.5,12.47,0.0205,0.3621,0.1522,0.8478,0.360297,1029.58,26.1
33,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,39.0,13.82,0.0227,0.3751,0.1766,0.8234,0.37319,1029.61,33.9
33,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,39.5,13.88,0.0225,0.4063,0.153,0.847,0.404265,1029.56,35.6
34,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,38.0,14.84,0.0237,0.3569,0.4274,0.5726,0.353781,1029.58,31.3
34,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,123,5,34.5,15.94,0.0255,0.3786,0.4628,0.5372,0.376042,1029.55,33.3
34,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,456,5,45.0,15.92,0.0255,0.432,0.4651,0.5349,0.428585,1029.54,31.3
35,flat_dry,flat,dry,873x873,13.1,205931.99999999997,Swarm_5D0P,42,5,24.0,22.37,0.0345,0.2791,0.1172,0.8828,0.275526,1029.55,40.0
