Config,Comm_range,Evaporation_rate,Ever_explored_penalty,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Agent_prob_gini,Mean_prob_swept,Total_prob_swept,Likelihood,Path_km,Elapsed_s,Scenario,Group,Environment,Climate,Grid,Radius_km
baseline,500.0,0.01,0.0,42,24.5,39.87,0.0304,0.2722,0.5351,0.4649,0.0202,4436.2175,22181.0875,0.270365,2009.17,379.8,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
E6_comm_2000,2000.0,0.01,0.0,42,32.5,56.33,0.043,0.3461,0.3789,0.6211,0.0491,3756.7518,18783.7588,0.343425,2009.25,499.4,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
E6_comm_5000,5000.0,0.01,0.0,42,31.0,68.66,0.0525,0.368,0.2587,0.7413,0.061,3283.4898,16417.449,0.364258,2009.2,774.0,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
E7_evap_0005,500.0,0.005,0.0,42,25.5,40.0,0.0305,0.2862,0.5438,0.4562,0.0157,4636.2162,23181.081,0.28452,2009.19,382.1,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
E7_evap_0002,500.0,0.002,0.0,42,25.0,41.92,0.032,0.2926,0.5326,0.4674,0.0307,4593.9798,22969.8992,0.291104,2009.17,382.4,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
E8_eep_05,500.0,0.01,0.5,42,27.5,44.61,0.0339,0.3093,0.5418,0.4582,0.0289,4700.0899,23500.4496,0.307454,2009.25,362.5,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
E8_eep_15,500.0,0.01,1.5,42,26.5,46.47,0.035,0.3005,0.5395,0.4605,0.028,4633.9072,23169.5359,0.298644,2009.19,349.8,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
baseline,500.0,0.01,0.0,123,23.5,39.87,0.0304,0.2722,0.5351,0.4649,0.0202,4436.2203,22181.1015,0.270366,2009.17,381.5,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
E6_comm_2000,2000.0,0.01,0.0,123,31.0,56.33,0.043,0.3461,0.3789,0.6211,0.0491,3756.7673,18783.8366,0.343428,2009.25,499.4,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
E6_comm_5000,5000.0,0.01,0.0,123,36.0,68.66,0.0525,0.368,0.2587,0.7413,0.061,3283.4898,16417.449,0.364258,2009.2,776.9,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
E7_evap_0005,500.0,0.005,0.0,123,28.5,40.0,0.0306,0.2862,0.5438,0.4562,0.0157,4636.2162,23181.081,0.28452,2009.19,380.1,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
E7_evap_0002,500.0,0.002,0.0,123,31.0,41.92,0.032,0.2926,0.5326,0.4674,0.0307,4593.9882,22969.9408,0.291104,2009.17,374.4,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
E8_eep_05,500.0,0.01,0.5,123,29.5,44.61,0.0339,0.3093,0.5418,0.4582,0.0289,4700.0899,23500.4496,0.307454,2009.25,359.0,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
E8_eep_15,500.0,0.01,1.5,123,27.0,46.59,0.0351,0.2995,0.5383,0.4617,0.0294,4625.7799,23128.8996,0.297738,2009.19,351.4,20,mountain_temperate,mountainous,temperate,1219x1220,18.3
baseline,500.0,0.01,0.0,42,53.0,29.94,0.0473,0.5643,0.3918,0.6082,0.0631,1339.3895,6696.9475,0.560968,1029.54,99.1,31,flat_dry,flat,dry,873x873,13.1
E6_comm_2000,2000.0,0.01,0.0,42,54.5,32.22,0.0505,0.5938,0.3407,0.6593,0.0777,1214.4299,6072.1494,0.590793,1029.6,108.0,31,flat_dry,flat,dry,873x873,13.1
E6_comm_5000,5000.0,0.01,0.0,42,62.5,37.94,0.0596,0.6371,0.2659,0.7341,0.0539,1135.037,5675.1848,0.633714,1029.59,132.7,31,flat_dry,flat,dry,873x873,13.1
E7_evap_0005,500.0,0.005,0.0,42,51.5,25.86,0.0411,0.5281,0.4542,0.5458,0.0417,1355.1247,6775.6233,0.525192,1029.52,101.7,31,flat_dry,flat,dry,873x873,13.1
E7_evap_0002,500.0,0.002,0.0,42,53.5,27.83,0.0445,0.5718,0.4183,0.5817,0.0481,1340.8917,6704.4583,0.569233,1029.56,100.3,31,flat_dry,flat,dry,873x873,13.1
E8_eep_05,500.0,0.01,0.5,42,55.0,35.12,0.0522,0.5279,0.3078,0.6922,0.0815,1169.2531,5846.2657,0.524851,1029.58,86.3,31,flat_dry,flat,dry,873x873,13.1
E8_eep_15,500.0,0.01,1.5,42,51.5,34.25,0.0511,0.5476,0.3395,0.6605,0.0628,1224.5225,6122.6123,0.544867,1029.57,88.0,31,flat_dry,flat,dry,873x873,13.1
baseline,500.0,0.01,0.0,123,54.5,25.17,0.04,0.5401,0.4538,0.5462,0.0507,1376.1914,6880.9571,0.537345,1029.57,104.1,31,flat_dry,flat,dry,873x873,13.1
E6_comm_2000,2000.0,0.01,0.0,123,55.0,32.35,0.0511,0.6033,0.3579,0.6421,0.0642,1292.2909,6461.4547,0.600578,1029.55,107.7,31,flat_dry,flat,dry,873x873,13.1
E6_comm_5000,5000.0,0.01,0.0,123,64.5,39.63,0.0628,0.6605,0.2351,0.7649,0.0888,1063.7884,5318.9421,0.656478,1029.53,157.2,31,flat_dry,flat,dry,873x873,13.1
E7_evap_0005,500.0,0.005,0.0,123,47.0,29.33,0.0465,0.5649,0.3818,0.6182,0.0499,1280.5113,6402.5566,0.562086,1029.57,102.5,31,flat_dry,flat,dry,873x873,13.1
E7_evap_0002,500.0,0.002,0.0,123,51.5,26.27,0.0417,0.5612,0.426,0.574,0.025,1416.5918,7082.9591,0.558721,1029.57,95.3,31,flat_dry,flat,dry,873x873,13.1
E8_eep_05,500.0,0.01,0.5,123,50.5,27.28,0.0408,0.5299,0.4139,0.5861,0.0519,1337.9061,6689.5305,0.527232,1029.51,92.3,31,flat_dry,flat,dry,873x873,13.1
E8_eep_15,500.0,0.01,1.5,123,56.5,38.08,0.0567,0.5808,0.3094,0.6906,0.0807,1134.2529,5671.2645,0.576111,1029.6,85.3,31,flat_dry,flat,dry,873x873,13.1
baseline,500.0,0.01,0.0,42,22.0,33.33,0.051,0.2746,0.1923,0.8077,0.061,1718.2086,8591.043,0.270327,1029.57,93.1,35,flat_dry,flat,dry,873x873,13.1
E6_comm_2000,2000.0,0.01,0.0,42,24.5,33.25,0.0509,0.3039,0.118,0.882,0.1094,1604.7174,8023.587,0.299164,1029.55,124.7,35,flat_dry,flat,dry,873x873,13.1
E6_comm_5000,5000.0,0.01,0.0,42,35.0,36.72,0.056,0.3535,0.0748,0.9252,0.056,1836.7389,9183.6947,0.347538,1029.54,178.1,35,flat_dry,flat,dry,873x873,13.1
E7_evap_0005,500.0,0.005,0.0,42,27.0,30.72,0.0467,0.3264,0.1657,0.8343,0.1793,1855.3945,9276.9725,0.321248,1029.54,102.3,35,flat_dry,flat,dry,873x873,13.1
E7_evap_0002,500.0,0.002,0.0,42,22.5,23.86,0.0365,0.2507,0.1116,0.8884,0.1362,1395.4589,6977.2947,0.246432,1029.61,110.7,35,flat_dry,flat,dry,873x873,13.1
E8_eep_05,500.0,0.01,0.5,42,25.5,20.29,0.0302,0.2563,0.0839,0.9161,0.0846,1496.8074,7484.0368,0.252687,1029.55,117.6,35,flat_dry,flat,dry,873x873,13.1
E8_eep_15,500.0,0.01,1.5,42,24.5,27.15,0.0401,0.2319,0.0293,0.9707,0.1291,1175.732,5878.6602,0.22842,1029.58,109.1,35,flat_dry,flat,dry,873x873,13.1
baseline,500.0,0.01,0.0,123,22.0,29.35,0.0448,0.2423,0.2894,0.7106,0.0869,1727.7561,8638.7804,0.238498,1029.58,95.9,35,flat_dry,flat,dry,873x873,13.1
E6_comm_2000,2000.0,0.01,0.0,123,26.0,33.66,0.0511,0.2755,0.1843,0.8157,0.1196,1517.2379,7586.1894,0.271256,1029.56,118.2,35,flat_dry,flat,dry,873x873,13.1
E6_comm_5000,5000.0,0.01,0.0,123,28.0,32.26,0.0488,0.2979,0.2349,0.7651,0.0566,1873.0692,9365.3458,0.293351,1029.56,214.1,35,flat_dry,flat,dry,873x873,13.1
E7_evap_0005,500.0,0.005,0.0,123,20.5,24.69,0.0378,0.2745,0.166,0.834,0.1867,1658.0244,8290.1218,0.270365,1029.53,120.1,35,flat_dry,flat,dry,873x873,13.1
E7_evap_0002,500.0,0.002,0.0,123,18.5,23.72,0.0362,0.259,0.2012,0.7988,0.1208,1707.9213,8539.6067,0.255089,1029.54,118.7,35,flat_dry,flat,dry,873x873,13.1
E8_eep_05,500.0,0.01,0.5,123,17.5,14.94,0.0224,0.1997,0.138,0.862,0.1478,1361.0855,6805.4276,0.196582,1029.58,139.4,35,flat_dry,flat,dry,873x873,13.1
