Scenario,Group,Environment,Climate,Radius_km,Budget_m,Algorithm,n_agents,Seed,Victims_pct,Area_km2,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Efficiency_ratio,Likelihood,Path_km,Elapsed_s
35,flat_dry,flat,dry,13.1,205932.0,Swarm_0D5P,5,123,22.5,15.95,0.0163,0.2027,0.2147,0.7853,0.232743,1041.88,116.7
35,flat_dry,flat,dry,13.1,205932.0,Swarm_5D0P,5,456,29.5,31.48,0.0479,0.3489,0.0988,0.9012,0.342665,1029.57,142.5
35,flat_dry,flat,dry,13.1,205932.0,Swarm_3D2P,5,456,23.5,22.15,0.0305,0.2906,0.1511,0.8489,0.300786,1041.93,150.7
35,flat_dry,flat,dry,13.1,205932.0,Swarm_0D5P,5,456,21.5,18.26,0.0191,0.2381,0.1774,0.8226,0.268352,1046.66,114.1
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_5D0P,5,42,33.5,73.33,0.0515,0.3934,0.3133,0.6867,0.389446,2234.84,479.7
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,42,29.5,45.58,0.0291,0.3192,0.3905,0.6095,0.322966,2224.31,561.5
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_0D5P,5,42,15.0,25.17,0.0093,0.17,0.2767,0.7233,0.196664,2324.68,673.6
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_5D0P,5,123,30.5,59.67,0.042,0.3824,0.434,0.566,0.379625,2234.87,493.6
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,123,28.0,49.39,0.0325,0.3407,0.3089,0.6911,0.342399,2232.15,693.7
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_0D5P,5,123,11.0,23.23,0.0088,0.1613,0.3439,0.6561,0.18629,2080.73,668.1
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_5D0P,5,456,30.0,62.28,0.0437,0.3894,0.3992,0.6008,0.386304,2234.85,558.5
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,456,23.0,49.96,0.0335,0.304,0.3146,0.6854,0.303576,2210.98,542.2
46,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_0D5P,5,456,15.0,19.71,0.0069,0.1292,0.1467,0.8533,0.155912,2162.03,679.7
50,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_5D0P,5,42,34.0,56.48,0.0396,0.3532,0.3751,0.6249,0.35007,2234.83,541.0
50,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,42,31.0,49.86,0.0326,0.3346,0.2906,0.7094,0.33686,2186.95,564.7
50,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_0D5P,5,42,17.0,23.98,0.0096,0.1834,0.4226,0.5774,0.203493,2260.08,642.4
50,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_5D0P,5,123,38.5,60.72,0.0426,0.3814,0.3416,0.6584,0.377301,2234.85,519.4
50,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,123,28.5,46.36,0.0301,0.3062,0.3042,0.6958,0.310175,2183.63,600.4
50,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_0D5P,5,123,21.0,22.57,0.0087,0.182,0.3342,0.6658,0.20245,2070.89,653.3
50,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_5D0P,5,456,31.0,61.52,0.0432,0.3595,0.3257,0.6743,0.355417,2234.82,535.2
50,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_3D2P,5,456,30.5,52.88,0.0352,0.3196,0.2299,0.7701,0.320036,2168.39,564.3
50,mountain_dry,mountainous,dry,19.3,446988.0,Swarm_0D5P,5,456,20.0,23.18,0.0091,0.1876,0.3486,0.6514,0.208071,2044.72,685.2
