Dataset,Algorithm,Environment Type,Climate,Environment Size,n_agents,Budget (m),Likelihood Score,Time-Discounted Score,Victims Found (%),Area Covered (km²),Total Path Length (km)
13,Concentric,flat,temperate,medium,1,100000,0.241148734819644,0.007214922818415635,49.0,6.582219955700207,99.99999999999982
13,Pizza,flat,temperate,medium,1,100000,0.2419252976941395,0.006960725864208758,51.0,6.57927579954017,99.99999999999983
14,RandomWalk,flat,temperate,medium,1,100000,0.062192277774878534,0.010020988753345686,24.0,1.4521791264746158,100.00000000000004
14,Greedy,flat,temperate,medium,1,100000,0.23847035042815395,0.014410058942553958,74.0,5.092364403825813,99.99999999999983
14,Spiral,flat,temperate,medium,1,100000,0.2252092535517913,0.008795341890096443,70.0,6.627888122020253,99.99999999999989
14,Concentric,flat,temperate,medium,1,100000,0.22689749740410836,0.009070096001723796,68.0,6.582219955700196,99.99999999999982
14,Pizza,flat,temperate,medium,1,100000,0.2232837678728009,0.008607434877852212,69.0,6.579275799540214,99.99999999999983
15,RandomWalk,flat,temperate,medium,1,100000,0.04402764802515268,0.007012404925735389,13.0,1.4433544143668753,99.99999999999993
15,Greedy,flat,temperate,medium,1,100000,0.22011829749430886,0.020028831429884295,36.0,3.903096002236063,100.0000000000002
15,Spiral,flat,temperate,medium,1,100000,0.2641011652446144,0.008262344149838185,60.0,6.627888122020253,99.99999999999989
15,Concentric,flat,temperate,medium,1,100000,0.2615846902930982,0.008131974731243089,62.0,6.582219955700196,99.99999999999982
15,Pizza,flat,temperate,medium,1,100000,0.26469725727021387,0.008311593080799302,62.0,6.579275799540214,99.99999999999983
16,RandomWalk,mountainous,temperate,medium,1,100000,0.025101257017037436,1.1096201573087528e-05,8.0,1.7748030505716887,99.99999999999977
16,Greedy,mountainous,temperate,medium,1,100000,0.07605986012305915,0.0016862966944976904,27.0,4.623158821368341,99.99999999999982
16,Spiral,mountainous,temperate,medium,1,100000,0.06846722897894295,8.641712331008404e-05,22.0,6.62812479507153,100.0
16,Concentric,mountainous,temperate,medium,1,100000,0.069265956423435,7.25535195538935e-05,22.0,6.582219955700215,100.00000000000021
16,Pizza,mountainous,temperate,medium,1,100000,0.06893589208378528,8.789229721892931e-05,23.0,6.579275799540142,99.9999999999998
17,RandomWalk,mountainous,temperate,medium,1,100000,0.012227678495095836,0.0010787359415586324,11.0,1.567195180180534,100.00000000000001
17,Greedy,mountainous,temperate,medium,1,100000,0.07091678752453667,0.0035670555886650164,27.0,5.689666143584525,100.0000000000002
17,Spiral,mountainous,temperate,medium,1,100000,0.07595220790566445,0.0011528203200713847,30.0,6.628124795071533,100.00000000000007
17,Concentric,mountainous,temperate,medium,1,100000,0.07567133242034071,0.0011901586033561395,30.0,6.582219955700264,100.00000000000017
17,Pizza,mountainous,temperate,medium,1,100000,0.07555925433514511,0.0011493706521118413,30.0,6.5792757995402225,100.0000000000002
18,RandomWalk,mountainous,temperate,medium,1,100000,0.009355483603283263,0.00021318620226705153,4.0,1.781149100921558,100.00000000000001
18,Greedy,mountainous,temperate,medium,1,100000,0.06633526476232271,0.004935550379229502,28.000000000000004,4.5927317463191075,99.99999999999986
18,Spiral,mountainous,temperate,medium,1,100000,0.04875341822025164,0.00045442514146440703,19.0,6.628124795071533,100.00000000000009
18,Concentric,mountainous,temperate,medium,1,100000,0.04748278320751363,0.000400346897557292,18.0,6.582219955700275,100.00000000000017
18,Pizza,mountainous,temperate,medium,1,100000,0.04858160231517754,0.00045413451310406594,19.0,6.579275799540185,100.00000000000021
19,RandomWalk,mountainous,temperate,medium,1,100000,0.019018420653557685,0.0012585457902589362,4.0,1.3163057311833941,100.00000000000004
19,Greedy,mountainous,temperate,medium,1,100000,0.08670321175614902,0.004177051130897484,34.0,5.55336962549159,99.99999999999993
19,Spiral,mountainous,temperate,medium,1,100000,0.09757817874181124,0.0015065446443914996,23.0,6.628124795071533,100.00000000000007
19,Concentric,mountainous,temperate,medium,1,100000,0.09663253222377188,0.0016170311194554003,21.0,6.582219955700264,100.00000000000017
19,Pizza,mountainous,temperate,medium,1,100000,0.09750137747800011,0.0015335258872019805,22.0,6.5792757995402225,100.0000000000002
20,RandomWalk,mountainous,temperate,medium,1,100000,0.01618735279479443,0.0022912583238966972,5.0,1.5195069971625195,100.0
20,Greedy,mountainous,temperate,medium,1,100000,0.08883802320745993,0.004960054183086729,27.0,5.781997635885035,99.99999999999977
20,Spiral,mountainous,temperate,medium,1,100000,0.09214630457997887,0.0019709667360671324,23.0,6.628124795071533,100.00000000000007
20,Concentric,mountainous,temperate,medium,1,100000,0.09247277432202367,0.0020767085324538866,24.0,6.582219955700264,100.00000000000017
20,Pizza,mountainous,temperate,medium,1,100000,0.09199171854259547,0.001955537701313716,23.0,6.5792757995402225,100.0000000000002
21,RandomWalk,mountainous,temperate,medium,1,100000,0.023901717502869037,0.0011661303749701377,11.0,1.852222460660049,100.00000000000001
21,Greedy,mountainous,temperate,medium,1,100000,0.06962571721472482,0.003425535275596265,19.0,4.243715710215116,100.0
21,Spiral,mountainous,temperate,medium,1,100000,0.0975061977817775,0.0014396791476567643,22.0,6.6281247950715345,100.0
21,Concentric,mountainous,temperate,medium,1,100000,0.09714331470809304,0.001478540368308135,22.0,6.582219955700207,99.99999999999982
21,Pizza,mountainous,temperate,medium,1,100000,0.09710919283153621,0.0014210699824856448,22.0,6.57927579954017,99.99999999999983
22,RandomWalk,mountainous,temperate,medium,1,100000,0.00783914711639745,0.0010194711146837314,3.0,1.2903699065054905,100.00000000000021
22,Greedy,mountainous,temperate,medium,1,100000,0.0837099693704298,0.002886459041297411,35.0,5.442877202803253,100.00000000000041
22,Spiral,mountainous,temperate,medium,1,100000,0.04783619248667788,0.0007925635226646434,12.0,6.628124795071533,100.00000000000009
22,Concentric,mountainous,temperate,medium,1,100000,0.04886139159480952,0.0008481525629199779,12.0,6.582219955700275,100.00000000000017
22,Pizza,mountainous,temperate,medium,1,100000,0.047985304154842395,0.0007677328861166845,14.000000000000002,6.579275799540185,100.00000000000021
23,RandomWalk,mountainous,temperate,medium,1,100000,0.013578293569146352,0.0009922102451870383,2.0,1.377575314712878,100.00000000000003
23,Greedy,mountainous,temperate,medium,1,100000,0.06831800753692052,0.00428613734209905,22.0,3.5515227394497098,99.9999999999999
23,Spiral,mountainous,temperate,medium,1,100000,0.07301441448106553,0.0008526700225250449,19.0,6.628124795071526,100.0000000000001
23,Concentric,mountainous,temperate,medium,1,100000,0.07402337495085595,0.0008314450781471221,19.0,6.582219955700273,100.00000000000018
23,Pizza,mountainous,temperate,medium,1,100000,0.0729018369384811,0.0009577345116146765,18.0,6.579275799540184,100.00000000000018
24,RandomWalk,mountainous,temperate,medium,1,100000,0.01429700548264214,0.0007341955342385885,2.0,1.51330548109162,100.00000000000014
24,Greedy,mountainous,temperate,medium,1,100000,0.05677471659505303,0.002266123347986302,16.0,5.390491278250281,100.00000000000031
24,Spiral,mountainous,temperate,medium,1,100000,0.06503231391279951,0.0009541768617403448,22.0,6.628124795071533,100.00000000000007
24,Concentric,mountainous,temperate,medium,1,100000,0.06485644071780655,0.0009799605807108396,21.0,6.582219955700264,100.00000000000017
24,Pizza,mountainous,temperate,medium,1,100000,0.06478275910143916,0.0009418614590926658,21.0,6.5792757995402225,100.0000000000002
25,RandomWalk,mountainous,temperate,medium,1,100000,0.015177059033863108,0.00068546353786014,9.0,1.8117987774477893,99.99999999999976
25,Greedy,mountainous,temperate,medium,1,100000,0.04156024446176238,0.0021059854199632225,19.0,3.97767741235119,99.99999999999999
25,Spiral,mountainous,temperate,medium,1,100000,0.06208543256836991,0.0008862401230665192,24.0,6.628124795071533,100.00000000000009
25,Concentric,mountainous,temperate,medium,1,100000,0.061960665397759414,0.000939083207495452,24.0,6.582219955700275,100.00000000000017
25,Pizza,mountainous,temperate,medium,1,100000,0.061832457007703914,0.0008840686084321967,24.0,6.579275799540185,100.00000000000021
26,RandomWalk,mountainous,temperate,medium,1,100000,0.0385530066410457,0.0024652154677756613,11.0,1.545885139244299,100.00000000000028
26,Greedy,mountainous,temperate,medium,1,100000,0.10264760444516961,0.008509818996975902,32.0,4.08408722158951,100.00000000000001
26,Spiral,mountainous,temperate,medium,1,100000,0.09161497093194466,0.0019468971425228333,25.0,6.628124795071533,100.00000000000009
26,Concentric,mountainous,temperate,medium,1,100000,0.09239366024569003,0.0020927555124526796,25.0,6.582219955700275,100.00000000000017
26,Pizza,mountainous,temperate,medium,1,100000,0.09304826004305468,0.00195993736717919,27.0,6.579275799540185,100.00000000000021
27,RandomWalk,mountainous,temperate,medium,1,100000,0.004277837010938774,6.941599933783173e-32,1.0,1.2277990790202415,99.99999999999997
27,Greedy,mountainous,temperate,medium,1,100000,0.009757207499448282,9.652759082535283e-13,2.0,1.6469587890270614,99.99999999999987
27,Spiral,mountainous,temperate,medium,1,100000,0.022750189013306547,2.6171959388586747e-12,8.0,6.628124795071533,100.00000000000009
27,Concentric,mountainous,temperate,medium,1,100000,0.02235067035817583,1.1965940712258249e-12,8.0,6.582219955700275,100.00000000000017
27,Pizza,mountainous,temperate,medium,1,100000,0.022346362090943164,4.628189668461987e-12,8.0,6.579275799540185,100.00000000000021
28,RandomWalk,mountainous,temperate,medium,1,100000,0.0145693714195681,0.0004512858646953586,3.0,1.665552127388625,99.99999999999999
28,Greedy,mountainous,temperate,medium,1,100000,0.1396897722950691,2.7876095570382405e-22,50.0,2.0551631550437257,100.00000000000027
28,Spiral,mountainous,temperate,medium,1,100000,0.1844954691386529,1.1726726640462647e-05,65.0,6.6281247950715345,100.0
28,Concentric,mountainous,temperate,medium,1,100000,0.18873671114827117,2.294217902765664e-05,69.0,6.582219955700207,99.99999999999982
28,Pizza,mountainous,temperate,medium,1,100000,0.18511304997638384,1.3430156643482289e-05,65.0,6.57927579954017,99.99999999999983
29,RandomWalk,mountainous,temperate,medium,1,100000,0.009767806725948208,0.0012001192827796167,2.0,1.3648227512039186,100.0
29,Greedy,mountainous,temperate,medium,1,100000,0.08771680603474319,0.006233439044010421,19.0,4.147636638027151,100.00000000000024
29,Spiral,mountainous,temperate,medium,1,100000,0.07462847580508723,0.0010087836039335653,27.0,6.628124795071533,100.00000000000009
29,Concentric,mountainous,temperate,medium,1,100000,0.07578087904333031,0.0011194633677369032,26.0,6.582219955700275,100.00000000000017
29,Pizza,mountainous,temperate,medium,1,100000,0.07498497814423793,0.001093406662095497,27.0,6.579275799540185,100.00000000000021
30,RandomWalk,mountainous,temperate,medium,1,100000,0.026441899798815737,0.00032310576572973685,13.0,1.502721611082878,100.0
30,Greedy,mountainous,temperate,medium,1,100000,0.08696388805213252,0.005827879818213105,22.0,4.028512370956331,100.00000000000001
30,Spiral,mountainous,temperate,medium,1,100000,0.12674999426415537,0.0005134238648813108,34.0,6.628124795071526,100.0000000000001
30,Concentric,mountainous,temperate,medium,1,100000,0.12764657392966502,0.00046510454955107943,34.0,6.582219955700273,100.00000000000018
30,Pizza,mountainous,temperate,medium,1,100000,0.12623482069089256,0.0005260944159415596,34.0,6.579275799540184,100.00000000000018
31,RandomWalk,flat,dry,medium,1,100000,0.020091522086734342,3.236849458031246e-05,12.0,1.300039713839239,100.00000000000028
31,Greedy,flat,dry,medium,1,100000,0.11345098116174869,0.00040993954510622704,54.0,2.8062666040902036,100.00000000000011
31,Spiral,flat,dry,medium,1,100000,0.12513800857059879,7.340201814298958e-05,55.00000000000001,6.628025336402941,100.00000000000028
